Kdy,Teplota,Vlhkost
2017-03-27 08:04:55,-0.1,
2017-03-27 08:09:55,0.1,
2017-03-27 08:14:56,0.3,
2017-03-27 08:19:56,0.5,
2017-03-27 08:24:56,0.8,
2017-03-27 08:29:55,0.8,
2017-03-27 08:34:55,0.9,
2017-03-27 08:39:55,1.1,
2017-03-27 08:44:55,1.3,
2017-03-27 08:49:55,1.6,
2017-03-27 08:54:55,1.9,
2017-03-27 08:59:55,2.1,
2017-03-27 09:04:56,2.3,
2017-03-27 09:09:55,2.6,
2017-03-27 09:14:55,2.8,
2017-03-27 09:19:55,3.1,
2017-03-27 09:24:55,3.4,
2017-03-27 09:29:55,3.7,
2017-03-27 09:34:55,4,
2017-03-27 09:39:55,4.3,
2017-03-27 09:44:55,5,
2017-03-27 09:49:55,5.2,
2017-03-27 09:54:55,5.5,
2017-03-27 09:59:55,5.8,
2017-03-27 10:04:55,5.9,
2017-03-27 10:09:55,5.8,
2017-03-27 10:14:55,6.1,
2017-03-27 10:19:56,6.3,
2017-03-27 10:24:55,6.5,
2017-03-27 10:29:55,6.6,
2017-03-27 10:34:55,6.5,
2017-03-27 10:39:55,6.6,
2017-03-27 10:44:55,7,
2017-03-27 10:49:55,7,
2017-03-27 10:54:55,6.8,
2017-03-27 10:59:55,7.1,
2017-03-27 11:04:55,7.3,
2017-03-27 11:09:55,7.4,
2017-03-27 11:14:55,7.3,
2017-03-27 11:19:55,7.6,
2017-03-27 11:24:55,8.1,
2017-03-27 11:29:55,7.9,
2017-03-27 11:34:55,8,
2017-03-27 11:39:55,7.9,
2017-03-27 11:44:56,7.9,
2017-03-27 11:49:56,7.9,
2017-03-27 11:54:57,8.3,
2017-03-27 11:59:56,8.4,
2017-03-27 12:04:55,8.8,
2017-03-27 12:09:55,8.7,
2017-03-27 12:14:55,9,
2017-03-27 12:19:55,8.6,
2017-03-27 12:24:55,8.5,
2017-03-27 12:29:55,8.9,
2017-03-27 12:34:55,9.2,
2017-03-27 12:39:55,9.1,
2017-03-27 12:44:55,8.8,
2017-03-27 12:49:55,9.4,
2017-03-27 12:54:55,9.2,
2017-03-27 12:59:55,9.1,
2017-03-27 13:04:55,9.9,
2017-03-27 13:09:55,9.6,
2017-03-27 13:14:55,9.7,
2017-03-27 13:19:55,9.4,
2017-03-27 13:24:55,9.4,
2017-03-27 13:29:55,9.6,
2017-03-27 13:34:55,9.6,
2017-03-27 13:39:55,9.9,
2017-03-27 13:44:55,11.3,
2017-03-27 13:49:55,11.4,
2017-03-27 13:54:55,11.3,
2017-03-27 13:59:55,10.9,
2017-03-27 14:04:55,10.3,
2017-03-27 14:09:55,10.9,
2017-03-27 14:14:55,11.7,
2017-03-27 14:19:55,10.9,
2017-03-27 14:24:55,10.9,
2017-03-27 14:29:55,12.1,
2017-03-27 14:34:55,11.6,
2017-03-27 14:39:55,12.5,
2017-03-27 14:44:55,12.9,
2017-03-27 14:49:55,12.8,
2017-03-27 14:54:55,12.6,
2017-03-27 14:59:55,12.6,
2017-03-27 15:04:55,12.4,
2017-03-27 15:09:55,11.1,
2017-03-27 15:14:55,11.8,
2017-03-27 15:19:55,12.6,
2017-03-27 15:24:55,12.7,
2017-03-27 15:29:56,12.4,
2017-03-27 15:34:55,12.6,
2017-03-27 15:39:55,11.9,
2017-03-27 15:44:55,12.2,
2017-03-27 15:49:55,11.8,
2017-03-27 15:54:55,12.9,
2017-03-27 15:59:55,13.3,
2017-03-27 16:04:55,12.6,
2017-03-27 16:09:55,11.7,
2017-03-27 16:14:55,10.8,
2017-03-27 16:19:55,10.5,
2017-03-27 16:24:55,10.9,
2017-03-27 16:29:55,11.3,
2017-03-27 16:34:55,10.4,
2017-03-27 16:39:55,10.6,
2017-03-27 16:44:55,12.4,
2017-03-27 16:49:55,12.4,
2017-03-27 16:54:55,11,
2017-03-27 16:59:55,10.6,
2017-03-27 17:04:55,10.4,
2017-03-27 17:09:55,10.4,
2017-03-27 17:14:55,10.1,
2017-03-27 17:19:55,10.3,
2017-03-27 17:24:55,10.6,
2017-03-27 17:29:55,12.6,
2017-03-27 17:34:55,12.3,
2017-03-27 17:39:55,10.7,
2017-03-27 17:44:55,10.2,
2017-03-27 17:49:55,10.3,
2017-03-27 17:54:56,10.1,
2017-03-27 17:59:55,9.9,
2017-03-27 18:04:55,9.7,
2017-03-27 18:09:55,9.7,
2017-03-27 18:14:55,9.6,
2017-03-27 18:19:55,9.6,
2017-03-27 18:24:55,9.4,
2017-03-27 18:29:55,9.4,
